age,monthly_income,credit_utilization_ratio,loan_amount,loan_duration_months,num_late_payments,existing_loans_count,account_tenure_years,employment_type,education_level,marital_status,region,customer_financial_statement,default_risk,sentiment,sentiment_score,financial_stress_level,risk_category
42,12500.0,0.28,38000.0,48,0,1,15,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
35,7200.0,0.35,25000.0,36,1,2,8,Salaried,Bachelor,Single,Suburban,"I'm working on improving my credit score, but I keep up with payments.",0,positive,0.7940552234649658,Low,Low Risk
28,3800.0,0.82,18000.0,60,4,3,4,Self-Employed,Diploma,Single,Urban,"Despite my efforts, I'm finding it hard to juggle all my current financial commitments.",1,negative,0.8420806527137756,High,High Risk
55,18000.0,0.15,45000.0,24,0,0,19,Salaried,Master,Married,Urban,"My financial standing is excellent, allowing me to easily handle any new commitments.",0,positive,0.9014744162559509,Low,Low Risk
23,2000.0,0.95,10000.0,48,7,2,2,Student,High School,Single,Rural,I am overwhelmed by my debts and struggling to find stable income.,1,negative,0.9473558664321899,High,High Risk
48,5500.0,0.65,30000.0,60,2,3,7,Salaried,Bachelor,Divorced,Suburban,I've recently fallen behind on a few payments due to unexpected expenses.,1,negative,0.9688520431518555,High,High Risk
60,9000.0,0.22,20000.0,36,0,1,20,Salaried,Master,Married,Suburban,"My financial situation is very stable, and I maintain a healthy credit profile.",0,positive,0.5887436270713806,Low,Low Risk
31,4500.0,0.58,22000.0,48,1,2,6,Self-Employed,Diploma,Single,Urban,"I have a couple of loans, but I'm making a conscious effort to pay them down.",0,neutral,0.719372570514679,Low,Low Risk
68,2200.0,0.88,8000.0,24,6,4,10,Unemployed,High School,Divorced,Rural,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
39,7800.0,0.31,15000.0,12,0,1,12,Salaried,Bachelor,Married,Urban,I consistently manage my finances well and pay all bills on time.,0,neutral,0.8572981953620911,Low,Low Risk
26,3100.0,0.77,14000.0,36,3,3,3,Salaried,Diploma,Single,Suburban,I'm really struggling to keep up with multiple loans and maintain my credit standing.,1,negative,0.8806866407394409,High,High Risk
50,15000.0,0.18,30000.0,36,0,1,18,Salaried,Master,Married,Urban,My income allows me to comfortably manage all my financial commitments.,0,neutral,0.7160107493400574,Low,Low Risk
33,6200.0,0.49,28000.0,48,1,2,7,Self-Employed,Bachelor,Divorced,Urban,"My finances can be a bit tight sometimes, but I'm managing everything.",0,neutral,0.7990983724594116,Low,Low Risk
29,2800.0,0.91,16000.0,60,5,4,5,Unemployed,Diploma,Single,Rural,"I've been unemployed for a while, and my credit has suffered significantly.",1,negative,0.969292163848877,High,High Risk
45,10500.0,0.25,20000.0,24,0,1,16,Salaried,Master,Married,Suburban,"I've always prioritized financial responsibility, and my record reflects that.",0,neutral,0.8859332799911499,Low,Low Risk
38,4900.0,0.71,25000.0,60,3,2,9,Salaried,Bachelor,Single,Urban,"It's been a tough period, and my financial commitments have become overwhelming.",1,negative,0.9539028406143188,High,High Risk
62,16000.0,0.12,40000.0,36,0,0,20,Salaried,Master,Married,Urban,"With stable employment and careful budgeting, I keep my finances in order.",0,neutral,0.7583054304122925,Low,Low Risk
24,1800.0,0.99,5000.0,12,8,3,1,Unemployed,High School,Single,Rural,My financial situation is dire; I have too much debt and no way to pay it all.,1,negative,0.9458333253860474,High,High Risk
58,7000.0,0.45,10000.0,24,1,1,15,Salaried,Bachelor,Married,Suburban,"I've faced some financial challenges, but I'm diligent in meeting my payment deadlines.",0,neutral,0.8381066918373108,Low,Low Risk
30,3500.0,0.85,19000.0,60,6,4,6,Self-Employed,Diploma,Divorced,Urban,I'm currently unable to meet my debt obligations and am falling further behind.,1,negative,0.968333899974823,High,High Risk
41,11000.0,0.2,25000.0,36,0,1,14,Salaried,Master,Married,Urban,"My financial standing is excellent, allowing me to easily handle any new commitments.",0,positive,0.9014744162559509,Low,Low Risk
52,6800.0,0.52,35000.0,48,2,3,11,Salaried,Bachelor,Married,Suburban,"I've had a few late payments in the past, but I'm back on track now.",0,neutral,0.6047859787940979,Low,Low Risk
27,2600.0,0.93,12000.0,36,9,5,4,Student,Diploma,Single,Urban,"With multiple late payments and high utilization, I'm at a breaking point financially.",1,negative,0.9583114385604858,High,High Risk
49,19000.0,0.1,50000.0,60,0,1,17,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
65,3000.0,0.79,10000.0,36,5,3,10,Unemployed,High School,Divorced,Rural,"My current job isn't providing enough to stay afloat, and I'm deeply concerned.",1,negative,0.8657320737838745,High,High Risk
36,7500.0,0.39,18000.0,24,0,1,9,Salaried,Bachelor,Married,Suburban,"I have a good income and low debt, so I'm comfortable with my financial obligations.",0,neutral,0.8417258858680725,Low,Low Risk
22,2300.0,0.98,7000.0,24,10,2,0,Student,High School,Single,Urban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
47,5800.0,0.68,32000.0,60,3,4,10,Self-Employed,Bachelor,Divorced,Rural,"It's been a tough period, and my financial commitments have become overwhelming.",1,negative,0.9539028406143188,High,High Risk
34,9500.0,0.33,28000.0,48,0,1,10,Salaried,Bachelor,Married,Urban,I consistently manage my finances well and pay all bills on time.,0,neutral,0.8572981953620911,Low,Low Risk
53,13000.0,0.17,30000.0,36,0,0,18,Salaried,Master,Married,Suburban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
25,3900.0,0.72,20000.0,60,2,3,2,Salaried,Diploma,Single,Urban,"Financial stress is high, and I've missed some payments recently.",1,negative,0.9640210866928101,High,High Risk
61,11000.0,0.29,22000.0,24,1,1,19,Salaried,Bachelor,Married,Urban,"I've faced some financial challenges, but I'm diligent in meeting my payment deadlines.",0,neutral,0.8381066918373108,Low,Low Risk
70,1800.0,0.89,4000.0,12,7,2,15,Unemployed,High School,Divorced,Rural,My financial situation is dire; I have too much debt and no way to pay it all.,1,negative,0.9458333253860474,High,High Risk
