Customer_ID|Age|Annual_Income|Credit_Score|Loan_Amount|Loan_Term_Months|Loan_Officer_Note|Default_Status
CUST-0034|45|49830|650|120544|12|Entrepreneur received venture funding; startup capital secured additional credit lines|0
CUST-1287|73|65944|700|149986|18|Retiree benefits heavily off military paycheck plus inheritance ensures repayments|0
CUST-0098|55|74446|730|90482|24|Doctor enjoys good earnings yet faces lawsuit over malpractice causing financial strain|1
CUST-0416|32|39620|550|30270|12|Student working part-time at local bookstore meets tuition demands without extra aid|0
CUST-0582|60|79898|670|130395|24|Military veteran receives deployment bonus supplementing regular salary secure against expenses|0
CUST-1723|29|20061|400|18168|12|Blue collar worker experiences declining factory demand affecting consistent wages despite strong skills|1
CUST-0139|65|85492|710|201976|18|IT professional gains early promotions boosting career stability beyond initial expectations|1
CUST-1985|58|60210|690|158484|24|Nurse accrues wealth through clinic ownership while maintaining patient care quality indicators well below industry norms|0
CUST-0832|48|54425|600|239925|12|Small business owner taps into personal funds regularly to buffer fluctuating sales targets|0
CUST-1456|37|70807|740|109372|24|Real estate investor secures loans backed by property value appreciation showing excellent portfolio management|0
CUST-0264|70|66835|0|210686|18|Architect balances mortgage responsibilities effectively alongside achieving artistic recognition awards|0
CUST-0573|50|51111|620|191598|12|Bank teller accumulates significant customer trust bonuses contributing positively towards lifestyle choices|0
CUST-1621|64|76223|680|128978|24|Marketing specialist leverages social media presence leading to higher than anticipated clientele engagement levels|0
CUST-1129|40|45211|550|280091|12|Construction manager utilizes project completion rates efficiently optimizing resource allocation|0
CUST-0781|35|71893|730|141159|18|Freelance writer finds unique opportunities increasing net worth substantially outweighing average figures|0
CUST-0392|47|48547|600|261766|12|Pilot uses frequent flyer miles converting them consistently into tangible travel discounts|1
CUST-1874|72|81122|720|171569|24|Engineer applies innovative solutions garnering respect within their field enhancing reputation more than finances|0
CUST-0462|51|62660|630|189894|24|Pharmacist draws upon longstanding community relationships providing added security amid competitive market pressures|0
CUST-1586|69|80544|700|221267|12|Lawyer practices diligence resulting in exceptionally lucrative cases securing an above-average legal firm standing|0
CUST-0678|43|54177|580|199473|18|Graphic designer embraces online platforms expanding reach significantly reducing need for traditional advertising spend|0
CUST-0215|54|67177|650|178205|24|Chef turns culinary talents into successful restaurant chain mitigating individual kitchen risks|0
CUST-0834|39|63060|640|170656|12|Socialite thrives using connections elevating brand image financially surpassing typical luxury goods sector standards|0
CUST-1743|49|57974|590|159757|18|Physiotherapist integrates healthcare services offering holistic treatment options attracting premium pricing|0
CUST-0916|67|77949|720|151111|24|Probation officer builds rapport fostering positive public sentiment impactful enough to influence policy decisions favorably|0
CUST-1342|53|60086|610|211776|12|Journalist uncovers stories gaining exclusive rights agreements adding considerable prestige improving overall compensation package|0
CUST-0652|46|72813|690|229486|24|Public relations advisor enhances corporate profiles translating communication success directly to increased revenues|0
CUST-1965|41|60279|600|249155|12|Event planner creates memorable occasions yielding return clients willing to exceed usual spending limits|0
CUST-0327|57|61372|620|238099|24|Academic researcher publishes groundbre0 breaking papers receiving grants establishing name recognition ahead of peers|0
CUST-0541|66|80374|680|139651|18|Art curator influences trendsetting exhibits generating buzz among collectors justifying hefty prices|0
CUST-1829|52|66250|650|271343|12|Cybersecurity expert protects sensitive information crucial for company growth allowing for stock option exercise before lockout dates|0
CUST-0764|36|67945|670|129914|12|Personal shopper assists affluent customers making purchasing power translate into loyalty programs benefiting both parties|0
CUST-0893|44|56345|560|160124|24|Child psychologist develops renowned therapy techniques drawing celebrity endorsements amplifying credibility|0
CUST-1532|59|73582|700|220400|12|Travel agent orchestrates exotic vacations charging top dollar offsetting operational overheads|0
CUST-1054|61|67553|660|189203|24|Nonprofit director raises donations reaching milestones linked to specific charitable projects bolstering organization’s sustainability|0
CUST-0456|72|115410|840|298539|24|Entrepreneur facing declining sales impacting startup stability yet secured asset backing|0
CUST-2134|54|60788|680|179267|24|Student entering graduate program funded through tuition grants ensuring repayment capability|0
CUST-1789|45|23112|580|79799|24|Retired individual managing finances effectively post-career transition maintaining good credit standing despite lower earnings|0
CUST-2843|36|50301|620|201375|24|Doctor balancing clinic responsibilities well financially even though faced unexpected legal expenses recently|1
CUST-0987|65|31214|0|159834|24|Nurse accumulating patients rapidly leading to an overwhelming demand affecting personal financial health negatively|1
CUST-3752|29|18151|540|35097|24|Blue collar worker receiving consistent wages after long shifts; however, faces increased living costs outweighing pay rise|1
CUST-5621|70|88917|650|150417|24|Military veteran experiencing benefits fluctuation causing unstable monthly disposable income although having substantial military severance|1
CUST-6738|48|69581|760|219705|24|IT professional dealing with rapid software development demands strains working hours limiting time to focus on other life aspects including investments|0
CUST-8342|33|45507|650|170756|24|Entry level employee just starting their career journey focusing heavily on saving money towards future security plans showing potential for growth|0
CUST-4795|22|15156|550|120562|24|Investor handling portfolio wisely avoiding market volatility risks while benefiting from dividend reinvestments demonstrating sound decision making skills|0
CUST-1104|59|120058|710|298793|24|Technology sector analyst leveraging strong technical background optimizing performance at promotions within company hierarchy resulting in improved financial position|0
CUST-0145|55|60091|690|89133|12|Entrepreneur expanding business requires additional funding despite strong sales history|0
CUST-0789|40|24572|580|40374|18|Student managing tuition expenses through part-time employment at local bookstore|0
CUST-0221|50|74501|710|301304|24|Doctor running private clinic needs startup capital amid uncertain healthcare regulations|0
CUST-0563|62|79813|720|198696|24|Retired military veteran seeks supplemental annuity funds after deployment ended last year|0
CUST-0654|48|40095|590|99237|18|Blue collar worker juggles overtime shifts while dealing with shrinking factory hours|1
CUST-0991|57|54690|0|251463|24|Business analyst faces legal tussle impacting quarter earnings; credit score affected negatively|1
CUST-0302|65|117880|700|149205|24|Architect secures government grant leading to reduced reliance on personal finances|0
CUST-0233|38|64271|700|119105|24|Nurse accumulating patients necessitates better equipment investments though current salary suffices|0
CUST-0778|47|58066|680|160035|24|Marketing specialist facing cutbacks decides against taking out loans even during downturn|0
CUST-0112|70|108915|720|138878|24|Programmer benefits from venture success turning profits into substantial bank balance|0
