Customer_ID|Age|Annual_Income|Credit_Score|Loan_Amount|Loan_Term_Months|Loan_Officer_Note|Default_Status|Occupation|Has_Asset|Risk_Flag|DTI_Ratio|Log_Income
CUST-4321|55|120000|770|160000|48|Teaching assistant facing sudden hospital bills despite good salary [Note: History of late payments]|1|Education|0|0|1.333322222314814|11.695255355062795
CUST-2056|40|150000|780|90000|36|Photographer inherits art collection easing financial strain after lawsuits|0|Other|0|0|0.5999960000266665|11.918397239722838
CUST-9812|34|75000|660|110000|48|Retail store owner deals daily challenges due to fluctuating market demands|1|Service|0|0|1.4666471113718484|11.225256725762893
CUST-8132|28|32000|710|60000|24|Software developer secures bonus which helps cover mortgage ahead of schedule|0|Tech|1|0|1.8749414080809974|10.373522431293592
CUST-0543|45|80000|820|240000|72|Business consultant recently benefited from successful IP sale boosts finances significantly|1|Business|0|0|2.9999625004687442|11.289794413577894
CUST-2938|38|60000|750|150000|36|Construction expert dealing with unstable projects leads to credit hindrance|1|Trade|0|1|2.4999583340277662|11.002116507732017
CUST-1122|47|160000|840|200000|24|Financipline student receives scholarship allowing better handling personal loans|0|Student|0|0|1.2499921875488278|11.982935344196433
CUST-5678|22|28000|690|70000|36|Art restorer faces legal fees unexpectedly diminishing funds intended for child’s education|1|Other|0|0|2.4999107174743758|10.239995502805316
CUST-8890|50|110000|810|120000|12|Nursing professional juggles multiple part-time jobs amid healthcare system struggles leading to defaults|1|Business|0|0|1.090899173643876|11.608244735642321
CUST-1234|29|55000|720|110000|24|Marketing analyst handles divorce proceedings well thanks to inheritance received last year|0|Other|1|1|1.9999636370247813|10.915106645867503
CUST-3456|43|85000|850|250000|72|Real estate agent buys property outright without financing using trust fund money|1|Real Estate|1|0|2.941141868919189|11.350418300109132
CUST-6789|37|70000|760|140000|48|Bank manager caught up in extended liabilities post office closure affecting credibility negatively [Note: History of late payments]|1|Business|0|0|1.999971428979586|11.156264806643742
CUST-0987|31|50000|670|90000|24|Chef finds success through online culinary school grants reducing need for external borrowing|0|Service|0|0|1.7999640007199855|10.819798284210286
CUST-2345|26|130000|800|220000|36|Plumber invests profits into new business venture minimizing dependence on bank lines|0|Trade|1|0|1.6922946746563488|11.775297421715827
CUST-4567|42|90000|830|270000|60|Consultant uses windfall investments making payroll easier each month avoiding delays [Note: High debt-to-income]|1|Business|1|1|2.999966667037033|11.407576060361786
CUST-6543|33|72000|740|120000|36|Mechanic benefits from insurance claim covering car accident expenses fully [Note: High debt-to-income]|1|Trade|1|1|1.6666435188400162|11.184435286790631
CUST-8901|24|52000|700|65000|48|Freelancer manages tight margins successfully maintaining stable employment status|0|Other|0|0|1.2499759620007307|10.859018228147887
CUST-0234|39|77000|780|240000|12|Engineer utilizes bonuses wisely ensuring no overdue accounts exist [Note: History of late payments]|1|Tech|0|0|3.1168426384072934|11.251573687764477
CUST-2345|55|105000|830|210000|60|Executive pays off large deposit early resulting in excellent payment history|0|Business|0|0|1.9999809525623566|11.561725152903833
CUST-3456|48|120000|820|160000|36|Jeweler securing an asset deal improves liquid position lessening reliance on lending institutions|0|Other|0|0|1.333322222314814|11.695255355062795
CUST-5678|21|38000|690|60000|24|Student gains full tuition assistance alleviating future educational burdens entirely|0|Student|0|0|1.5789058182679403|10.545367754151743
CUST-6789|36|83000|840|260000|72|Property Manager leveraging equity sales allows swift home renovation completion while preserving solvency|1|Business|0|0|3.132492379609884|11.326607934898927
CUST-1234|37|100000|800|230000|12|After winning lottery ticket contest, individual suffers oversight not accounting for increased wealth potentially triggering impulse spending beyond means; however, previous disciplined habits may offset initial shock causing temporary derogatory notation before stability returns [Note: High debt-to-income]|1|Other|0|1|2.2999770002299975|11.51293546492023
CUST-0041|45|22000|725|60000|24|Healthcare professional facing sudden surgery expenses yet possesses substantial inheritance ensuring payments|0|Business|1|0|2.7271487659651834|9.99884318585288
CUST-0178|34|85000|780|110000|36|Freelance graphic designer living off royalties despite recent lawsuit payment obligations indicating potential risk|1|Service|0|1|1.2941024223244433|11.350418300109132
CUST-0523|26|52000|650|40000|12|Real estate agent benefiting from windfall gain assures coverage even though having multiple overdue loans showing financial strain|0|Real Estate|1|0|0.7692159766158343|10.859018228147887
CUST-0937|59|33000|700|75000|48|Retired teacher using trust fund adequately covers student education bills without extra credit issues suggesting stable finances|0|Education|1|0|2.272658404290779|10.404293143019792
CUST-0319|22|19000|590|10000|12|New graduate receives parent’s assistance due to lacking employment experience while managing monthly rent responsibilities signifying economic reliability|0|Student|0|0|0.526288090100521|9.852246888342531
CUST-0856|50|67000|810|150000|36|Hospital administrator dealing with divorce proceedings faces liquidation risks amid abundant insurance benefits demonstrating unpredictable circumstances|1|Other|1|1|2.238772555633498|11.112462823634855
CUST-0625|41|80000|695|140000|24|Pharmaceutical sales representative inherits property posthumously securing personal liabilities against wealth base representing positive developments|0|Business|0|0|1.749978125273434|11.289794413577894
CUST-0789|39|29000|620|22000|48|Construction worker receiving bonus unexpectedly finds himself above his usual annual earnings threshold; however, past leverage indicates possible vulnerability|0|Trade|1|0|0.7585945312230613|10.275085591132715
CUST-0165|27|110000|750|300000|60|Consultant experiencing an abrupt legal judgment reversal gains considerable funds which cover all outstanding debts illustrating fortuitous events|1|Business|0|0|2.72724793410969|11.608244735642321
CUST-0448|48|150000|800|200000|48|Chef at upscale restaurant incurs large hospital bill after accident but owns asset-backed collater0ralized mortgage implying sufficient equity safety net|0|Service|0|0|1.3333244445037034|11.918397239722838
CUST-0203|23|21000|550|18000|12|Software developer accumulates significant stock options that guarantee future dividends supporting current lifestyle decisions reflective of sound investments [Asset: Inheritance Trust]|0|Tech|1|0|0.8571020427598686|9.952325334619427
CUST-0642|36|55000|660|120000|24|Mechanic utilizes bank endowment towards home downpayment reinforcing secured status indicative of robust fiscal planning|0|Trade|0|0|2.1817785131179432|10.915106645867503
CUST-9503|34|25000|680|100000|24|Plumbing business owner facing divorce proceedings impacting ability to pay back loans due to legal fees involved|1|Business|0|1|3.999840006399744|10.12667110305036
CUST-1204|45|78000|765|50000|12|Retired nurse receiving regular insurance dividends which cover her monthly expenses well below expected norms indicating good financial health despite lower credit score|0|Medical|1|0|0.6410174228535531|11.264476926102367
CUST-0763|27|22000|640|60000|24|Recent inheritance boosts applicant’s finances substantially after losing parents unexpectedly leading to excellent capacity for larger down payment reducing risk profile significantly|0|Other|1|0|2.7271487659651834|9.99884318585288
CUST-2509|38|30000|695|75000|18|Teacher at local university recently won lottery ticket causing sudden influx of funds improving overall net worth making him eligible for better interest rates though previously had no such windfalls|0|Education|0|0|2.4999166694443518|10.308985993422082
CUST-0847|41|28000|650|20000|12|Bankrupt IT consultant recovering through recent court case resolving lawsuits related to workplace injury allowing access to trust fund meant for personal liabilities|1|Business|1|0|0.7142602049926788|10.239995502805316
CUST-0035|45|18000|650|60000|48|Patient doctor facing unexpected surgery expenses; unable to secure additional insurance coverage|1|Medical|1|0|3.3331481584356424|9.798182590890704
CUST-0048|23|22000|620|120000|36|Chef inherits estate which covers all current liabilities allowing good credit standing despite higher than average salary earnings|1|Service|0|0|5.454297531930367|9.99884318585288
